Timestamp,Violation Type,Number Plate,Image Path
2025-02-09 16:21:56,helmet_violation,Dika,20250209_162156_helmet_violation_Dika.jpg
2025-02-09 16:21:58,helmet_violation,Oud,20250209_162158_helmet_violation_Oud.jpg
2025-02-09 16:22:00,helmet_violation,Qra,20250209_162200_helmet_violation_Qra.jpg
2025-02-09 16:22:02,helmet_violation,alat,20250209_162202_helmet_violation_alat.jpg
2025-02-09 16:22:04,helmet_violation,Ojko,20250209_162204_helmet_violation_Ojko.jpg
2025-02-09 16:22:06,helmet_violation,Jika,20250209_162206_helmet_violation_Jika.jpg
2025-02-09 16:22:08,helmet_violation,Old,20250209_162208_helmet_violation_Old.jpg
2025-02-09 16:22:10,helmet_violation,Oltd,20250209_162210_helmet_violation_Oltd.jpg
2025-02-09 16:22:12,helmet_violation,O1ld,20250209_162212_helmet_violation_O1ld.jpg
2025-02-09 16:22:14,helmet_violation,O1d,20250209_162214_helmet_violation_O1d.jpg
2025-02-09 16:22:16,helmet_violation,Olt,20250209_162216_helmet_violation_Olt.jpg
2025-02-09 16:22:18,helmet_violation,OId,20250209_162218_helmet_violation_OId.jpg
2025-02-09 16:22:21,helmet_violation,dlcl,20250209_162221_helmet_violation_dlcl.jpg
2025-02-09 16:22:23,helmet_violation,dlcil,20250209_162223_helmet_violation_dlcil.jpg
2025-02-09 16:22:25,helmet_violation,"""JRo","20250209_162225_helmet_violation_""JRo.jpg"
2025-02-09 16:22:32,helmet_violation,Qa,20250209_162232_helmet_violation_Qa.jpg
2025-02-09 16:22:38,helmet_violation,ojrra,20250209_162238_helmet_violation_ojrra.jpg
2025-02-09 16:22:40,helmet_violation,ajra,20250209_162240_helmet_violation_ajra.jpg
2025-02-09 16:22:43,helmet_violation,Oiky,20250209_162243_helmet_violation_Oiky.jpg
2025-02-09 16:22:45,helmet_violation,dlal,20250209_162245_helmet_violation_dlal.jpg
2025-02-09 16:22:48,helmet_violation,wra,20250209_162248_helmet_violation_wra.jpg
2025-02-09 16:22:50,helmet_violation,akq,20250209_162250_helmet_violation_akq.jpg
2025-02-09 16:22:56,helmet_violation,Gilcy,20250209_162256_helmet_violation_Gilcy.jpg
2025-02-09 16:23:00,helmet_violation,clc{,20250209_162300_helmet_violation_clc{.jpg
2025-02-09 16:23:03,helmet_violation,dleil,20250209_162303_helmet_violation_dleil.jpg
2025-02-09 16:23:05,helmet_violation,alell,20250209_162305_helmet_violation_alell.jpg
2025-02-09 16:23:11,helmet_violation,Gilct,20250209_162311_helmet_violation_Gilct.jpg
2025-02-09 16:23:15,helmet_violation,cnlcl,20250209_162315_helmet_violation_cnlcl.jpg
2025-02-09 16:23:18,helmet_violation,Glcf,20250209_162318_helmet_violation_Glcf.jpg
2025-02-09 16:23:20,helmet_violation,QRa,20250209_162320_helmet_violation_QRa.jpg
2025-02-09 16:23:22,helmet_violation,Ghlcf,20250209_162322_helmet_violation_Ghlcf.jpg
2025-02-09 16:23:46,helmet_violation,chlc},20250209_162346_helmet_violation_chlc}.jpg
2025-02-09 16:24:05,helmet_violation,Herot,20250209_162405_helmet_violation_Herot.jpg
2025-02-09 16:24:15,helmet_violation,~Hero,20250209_162415_helmet_violation_~Hero.jpg
2025-02-09 16:24:16,helmet_violation,Ra,20250209_162416_helmet_violation_Ra.jpg
